Koch_group1	Koch_group2	Koch_group3	Koch_group4	Koch_group5
	TFPI	PBX3	SUSD4	PIP5K1B
	THY1	PCDH7	TCEA3	PKP2
	TLL2	PCOLCE	TESK2	PLA2G12A
	TMEM173	PDK2	TGFBI	PLAGL1
	TPM1	PECAM1	THAP3	PLCG2
	TSPAN9	PEG10	THEM6	PMAIP1
	TUBB6	PEG3	TMEM141	PMEL
	TXNIP	PEG3OS	TMEM170B	PODXL
	VIM	PFKFB4	TMEM180	POSTN
	VWA2	PGF	TMEM218	PPM1E
	WIPI1	PHLDA2	TMSB15B2	PPP1R3E
	ZFP9	PITX1	TNFRSF12A	PRADC1
	ZHX2	PKLR	TPRN	PRDM12
		PLAC1	TRIB2	PRODH
		PLIN2	TRIM2	PROM1
		PLK2	TSPAN13	PROX1
		PLVAP	TUBB2B	PRRG3
		PLXND1	UNC13B	PSD3
		PMP22	WASF3	PTN
		PNPO	WDR31	PVT1
		POMC	WWC1	QPRT
		PON3	ZBTB16	RAB6B
		PPFIBP2	ZDHHC2	RASSF2
		PPP1R13B	ZSWIM5	RB1
		PPP1R14A		RBM38
		PRDM1		RFX4
		PRDM6		RMRP
		PRKAR2B		RND2
		PRKCH		RNF208
		PRND		RPRM
		PRRX1		RRAGB
		PRRX2		RSC1A1
		PTPRU		SCAMP5
		RAB32		SCG5
		RAB3IL1		SCRN1
		RAMP2		SCUBE2
		RASGRP3		SEMA3A
		RASIP1		SEMA3E
		REDRUM		SEMA5B
		REEP6		SEPT1
		RELN		SERAC1
		RGS10		SERINC2
		RGS5		SERPINE2
		RHAG		SFN
		RHOJ		SFRP2
		RIN3		SFT2D2
		ROBO2		SLC22A23
		RPS27		SLC25A23
		RUNX1T1		SLC29A1
		S100A1		SLC2A1
		S100A6		SLC2A3
		S1PR1		SLC31A2
		SCUBE1		SLC35F1
		SCUBE3		SLC35G1
		SELM		SLC37A4
		SERTAD4		SLC4A8
		SGK3		SLC50A1
		SH2D3C		SLC7A3
		SHANK3		SLITRK5
		SHH		SLMO1
		SLC23A2		SNURF
		SLC25A21		SNX10
		SLC25A37		SOBP
		SLC30A10		SOX1
		SLC38A4		SOX13
		SLC38A5		SOX2
		SLC39A8		SOX21
		SLC43A3		SOX3
		SLC4A1		SPIRE2
		SLC7A2		SPON1
		SLCO3A1		SPRY1
		SMAD9		SPSB4
		SMARCA2		SRGAP3
		SNAI2		SSBP2
		SNCA		STEAP1
		SNCAIP		STK10
		SNORA23		STON2
		SNORA65		SYN1
		SNORD17		SYNRG
		SOX18		SYT11
		SOX7		TANC2
		SPARC		TCEA2
		SPIN2C		TCFL5
		SPNS2		TDRKH
		SPTA1		THSD4
		SPTB		TIMP3
		STAT3		TIMP4
		STEAP3		TM7SF2
		TAF9B		TMEM108
		TAGLN		TMEM254C
		TAL1		TMEM28
		TANGO2		TMSB15B1
		TATDN3		TOM1L1
		TBX3		TOR3A
		TBX4		TOX2
		TCF21		TOX3
		TCF7L1		TPD52
		TCTA		TRAK1
		TEK		TRP53I11
		TGFB1		TSPAN7
		TGFB1I1		TSPYL5
		TGFBR3		TTC7
		TGM2		TUBB3
		TMEM119		TUBB4A
		TMEM150A		UCHL1
		TMEM56		UPK1A
