Brink_cl1	Brink_cl2	Brink_cl3	Brink_cl4	Brink_cl5	Brink_cl6	Brink_cl7	Brink_cl8	Brink_cl9	Brink_cl10	Brink_cl11	Brink_cl12	Brink_cl13
MIF	PEG10	ARG1	DACT1	SOX6	HOXD4-1	WLS	PSIP1	CAMK1D	MPZL1	GSE1	SDC4	VWF
DDAH2	SESN3	COL26A1	LHFPL2	RAPH1	FGF17	ETS2	FHL1	LRRTM2	SHE	7330423F06RIK	MSH6	ITGA6
FGF10	1810058I24RIK	NNAT	CRABP1	HOXB1	HOXB2	ARID3B	RPRM	IGSF10	ETS1	BHLHE41	ATP5B	RPN1
LDHB	ITIH5	ENAH	DEPDC7	CADM1	SULF1	CHD3	TPD52	GM43361	CREG1	JAG2	ASNS	SMOC2
RGS5	LOXL2	FBXL7	CCND1	SKI	CNR1	EZR	NEDD9	SCN3A	ETV2	GRINA	GJB3	AHNAK
LHX1	SOX11	FOXP2	CTSL	FBN2	OPHN1	CYP26A1	SP8	ATP8A1	LCP1	CEP170B	MYLPF	TRP53I11
RARB	TIMP3	ITGA9	MSMO1	TENM4	TLE4	EPHA1	CDCA7	GM47864	IPO11	RAB1A	SETX	TYRO3
FHDC1	NRP1	DOCK5	RANBP1	SNAP91	CDX2	HOXA3	FAM84B	ZFP804A	SH3BP5	SPINT1	PDGFA	FOXA1
TBX1	ZFP608	CAR14	DPYSL2	KIF5B	BTG2	MYL12B	AARS	DOCK4	TLN1	VPS35	GSTM1	HES1
CAMK2D	AFF3	ZFP36L1	GM27477	KCNN3	SPARCL1	CENPX	ODC1	OLFR959	CCDC85B	RBPMS	CCT2	TPD52
ZFHX3	ZC3H11A-1	ZFHX3	RAN	CAPN2	6330403K07RIK	HSPE1	GLDC	TRAF1	TEK	FAT1	PRDX1	TLN2
TECR	FBLN1	NREP	CSRP2	CHST8	G3BP2	CRABP2	DYNLL2	LHX4	ARHGAP31	FNIP1	SPINT2	KCNK1
FAM213A	RBMS1	SIM1	PFN1	ITPR1	NKD2	CDK6	RTN3	CDCP1	SOX17	DAPK1	PLEKHF2	GATA6
SDK2	EFNB3	CTTNBP2	ATF5	TMEM47	GCC2	NOTUM	HOXA9	ADGRB3	IFITM3	APAF1	GATSL3	FTL1
PRDX2	GAS1	FOXD2OS	NAV1	RASGRP3	MYCN	NRXN2	ASNS	ONECUT1	GLUD1	UBXN4	DIAPH1	FREM2
TIPARP	NYNRIN	RALGPS2	PHGDH	CRABP1	EPB41L2	EVX1OS	NARS	GRID2	FTH1	LNPEP	SOCS2	PCBD1
FZD2	SEMA5A	CDON	FN1	CLIC4	ALPL	GBX2	RFX4	OLFR129	ARAP3	FLCN	TCEA3	RAMP2
ABLIM1	SPON1	EBF3	NTN1	EPHB1	IFITM2	MSX1	ELAVL2	ARHGAP6	PLK2	GABARAP	HSF2BP	NME3
EDIL3	CLMP	TGFB2	CITED2	HEY1	LHFP	CDC42EP5	PITRM1	CACNB4	APLNR	LAMP2	PDK1	FLT1
PTPRE	GM38394	LPAR1	HIGD1A	CITED2	HOXC9	DEK	HOXB8	HECW1	FAM212A	TMTC3	CRIP1	PFKL
CAR14	MARCKSL1	GCHFR	ADK	ZIC2	LAPTM4B	PTPN14	WLS	GM37951	RHOC	SYNM	GRSF1	KITL
ATP5F1	ZC3H11A	ZFP503	DACT2	GSE1	NKD1	TNFRSF19	FOXB1	LRP1B	ANXA6	GRIP1	POU5F1	CTSZ
RIAN	TPCN1	NRP2	TWIST1	MYCN	ALDOA	EPHA5	2810474O19RIK	RUNX1T1	MYO6	FAM50A	ANXA7	RDX
EMB	FSCN1	SLC12A2	NR2F2	MAML2	GREB1L	GLDC	HMGA1	ADAMTS18	PFN1	GM42418	NCL	COL18A1
IFITM2	ANK3	CD36	SERPINH1	NCOR2	DAPK1	MBP	EDNRB	SSH2	GNGT2	BEND7	TIGAR	HMBOX1
MAF	PRRX1	DEPDC7	TPM4	UCK2	ITGB5	ARL4A	SPATA13	PCDH17	THSD1	TBC1D15	TRIML1	COBL
TSPAN7	U2AF2	MIRG	GM27868	AJAP1	PDCD5	SMIM10L2A	PRTG	ROBO2	CGNL1	ATP6V1H	PML	CCND1
NPM3	COL4A1	FOXD1	PSPH	HIPK2	SPRY2	PRDX1	SEMA3E	ZFHX3	S100A10	ATP6V1A	TERF1	SPINK1
ARG1	ACTN1	MARCKS	SPRY1	SMS	HOXB8	GM53	DDX39	BCL11B	ICAM2	CTSL	UPP1	PFDN2
BAMBI	NTM	EPHA7	H2AFY2	LDHA	PIK3C2B	PPA1	CNTFR	SLC7A2	ARPC5	UBC	PHC1	BPGM
JUND	DST	ISM1	CDKN1C	MTHFD2	DOPEY2	SMIM3	NIN	ROBO1	HHEX	HPRT	PEG10	RNF128
HS3ST3B1	HBP1	RASL11B	SUB1	RNF19B	EFNA1	FAM222A	MBP	CACNA1E	ARPC1B	AKAP12	ESRRB	IGFBP5
GNAS	ITM2C	RAB3IL1	ACTB	LRRTM3	HOXB9	PITRM1	CELSR2	FUT9	MEF2A	GLMP	ETNK1	NEPN
SFRP5	PDGFRB	LAMB1	CAPZB	SNAI1	ATL2	PRKAR2A	DENND5B	MUC4	RAPGEF5	NEAT1	MYO10	CARMIL1
MDK	RAB3IL1	H2AFY2	EIF1AX	SRM	LAMA1	AMPH	OLFM2	4930444F02RIK	NRP1	FAM122B	ELF3	CLDN4
GPC3	MEST	ENO3	HOXA7	SULF1	HMGA2	FABP7	GM42680	VMN1R218	SIPA1	RB1	SOD2	TES
NTRK2	BASP1	AKAP13	UQCRB	RNF213	GSTO1	EVX1	MCM5	GM15328	ANXA5	POLK	IQGAP1	MAPK13
TMSB10	KHSRP	FOXO1	GLIPR2	FGFR2	CHST7	WNT3A	FZD3	NDST4	NID1	FUCA2	TDRD12	MRPS34
TPM2	MMP2	LRRN1	NME1	SIX1	TRIM9	DLG1	FNDC5	ETNPPL	UPP1	PPP1R15A	BEX1	RIPK4
KRT18	JUND	RBMS3	HMGN1	PDLIM5	NCL	ID3	MYCL	ERBB4	JAK1	MFSD1	GNL3	GPRC5C
